Well,Omit,Sample,Target,Dye,Task,Cq,Quantity,CFU_TaqMan
E6,FALSE,AM_91224_S_5,atpe,VIC,Unknown,34.88387241941069,0.045689996,124261.496
E7,FALSE,AM_91224_S_9,atpe,VIC,Unknown,35.83575429334665,0.026790272,72860.57372
E8,FALSE,AM_91224_S_9,atpe,VIC,Unknown,Undetermined,0,0
E9,FALSE,AM_91224_S_9,atpe,VIC,Unknown,Undetermined,0,0
F1,FALSE,AM_91224_L_6,atpe,VIC,Unknown,35.45718482974779,0.033127065,90094.52824
F2,FALSE,AM_91224_L_6,atpe,VIC,Unknown,Undetermined,0,0
F3,FALSE,AM_91224_L_6,atpe,VIC,Unknown,Undetermined,0,0
F4,FALSE,AM_91224_S_6,atpe,VIC,Unknown,35.57293654876477,0.031044883,84431.69017
F5,FALSE,AM_91224_S_6,atpe,VIC,Unknown,Undetermined,0,0
F6,FALSE,AM_91224_S_6,atpe,VIC,Unknown,Undetermined,0,0
F7,FALSE,AM_91224_S_10,atpe,VIC,Unknown,Undetermined,0,0
F8,FALSE,AM_91224_S_10,atpe,VIC,Unknown,Undetermined,0,0
F9,FALSE,AM_91224_S_10,atpe,VIC,Unknown,34.64683093259687,0.052186222,141929.0543
G1,FALSE,AM_91224_L_7,atpe,VIC,Unknown,Undetermined,0,0
G2,FALSE,AM_91224_L_7,atpe,VIC,Unknown,36.949289265340504,0.014346973,39018.9653
G3,FALSE,AM_91224_L_7,atpe,VIC,Unknown,Undetermined,0,0
G4,FALSE,AM_91224_S_7,atpe,VIC,Unknown,34.146342971186584,0.06909659,187919.5962
G5,FALSE,AM_91224_S_7,atpe,VIC,Unknown,37.03033187843464,0.013709488,37285.21912
G6,FALSE,AM_91224_S_7,atpe,VIC,Unknown,34.87979702694736,0.045794544,124545.831
G7,FALSE,AM_91224_S_11,atpe,VIC,Unknown,Undetermined,0,0
G8,FALSE,AM_91224_S_11,atpe,VIC,Unknown,Undetermined,0,0
G9,FALSE,AM_91224_S_11,atpe,VIC,Unknown,34.63395461353558,0.052564442,142957.6874
H1,FALSE,AM_91224_L_8,atpe,VIC,Unknown,35.04118422220351,0.041831714,113768.2598
H2,FALSE,AM_91224_L_8,atpe,VIC,Unknown,34.976347496022086,0.043380798,117981.2498
H3,FALSE,AM_91224_L_8,atpe,VIC,Unknown,Undetermined,0,0
H4,FALSE,AM_91224_S_8,atpe,VIC,Unknown,36.74598865958765,0.016079664,43731.30377
H5,FALSE,AM_91224_S_8,atpe,VIC,Unknown,34.141320891335795,0.069291476,188449.6209
H6,FALSE,AM_91224_S_8,atpe,VIC,Unknown,Undetermined,0,0
H7,FALSE,AM_91224_S_12,atpe,VIC,Unknown,35.36552305135464,0.034874537,94847.06715
H8,FALSE,AM_91224_S_12,atpe,VIC,Unknown,Undetermined,0,0
H9,FALSE,AM_91224_S_12,atpe,VIC,Unknown,Undetermined,0,0
